,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
129,Atambua,100,ID,1666381974,81,-9.1061,124.8925,75.58,2.8
130,Berdigestyakh,99,RU,1666381976,96,62.0989,126.6992,23.7,6.04
131,Nortelândia,97,BR,1666381977,80,-14.4547,-56.8028,79.75,7.38
132,Hirara,97,JP,1666381978,89,24.8,125.2833,80.28,8.28
133,Cape Town,0,ZA,1666381777,72,-33.9258,18.4232,63.27,23.02
134,Butaritari,4,KI,1666381981,76,3.0707,172.7902,80.82,12.55
135,Praia da Vitória,75,PT,1666381983,88,38.7333,-27.0667,66.45,25.84
136,Río Gallegos,75,AR,1666381906,17,-51.6226,-69.2181,57.25,25.32
137,Tombouctou,100,ML,1666381985,15,20.0,-3.0,86.05,7.58
138,Deputatsky,96,RU,1666381986,97,69.3,139.9,-5.1,6.2
139,Fereydūnkenār,100,IR,1666381988,88,36.6864,52.5225,70.02,4.61
140,Jining,0,CN,1666381989,66,35.405,116.5814,56.68,2.98
141,Tiko,92,CM,1666381991,86,4.0745,9.3699,77.61,2.64
142,Arraial do Cabo,75,BR,1666381992,78,-22.9661,-42.0278,78.76,17.27
143,Progreso,46,MX,1666381994,58,21.2833,-89.6667,83.1,11.52
144,Chokurdakh,100,RU,1666381995,94,70.6333,147.9167,12.04,12.46
145,Juneau,75,US,1666381868,97,58.3019,-134.4197,46.22,8.05
146,Norman Wells,75,CA,1666381998,93,65.282,-126.8329,24.84,2.3
147,Skała,0,PL,1666381999,86,50.2305,19.8536,49.08,2.3
148,Puerto Carreño,40,CO,1666382000,52,6.189,-67.4859,93.18,6.91
149,Nauta,100,PE,1666382002,48,-4.5061,-73.5757,92.52,1.79
150,Lander,3,US,1666382003,18,42.833,-108.7307,72.1,17.05
151,Tilichiki,70,RU,1666382005,91,60.4667,166.1,13.15,5.61
152,Campo Grande,75,BR,1666381711,51,-20.4428,-54.6464,81.95,8.05
153,Kavaratti,73,IN,1666382007,78,10.5669,72.642,81.21,6.15
154,Saldanha,8,ZA,1666382009,75,-33.0117,17.9442,60.85,27.63
155,Sehithwa,11,BW,1666382010,22,-20.4667,22.7167,82.8,6.4
156,Lata,59,PT,1666382011,93,40.1629,-8.3327,64.81,4.7
157,Luwuk,84,ID,1666382013,82,-0.9516,122.7875,77.7,1.99
158,Cabo San Lucas,69,MX,1666381897,72,22.8909,-109.9124,90.61,6.17
159,Marawi,98,PH,1666382015,93,7.9986,124.2928,69.08,2.75
160,Narsaq,100,GL,1666382017,98,60.9167,-46.05,37.51,9.86
161,Anadyr,100,RU,1666382018,93,64.75,177.4833,30.7,13.42
162,Portobelo,91,PA,1666382020,74,9.55,-79.65,81.05,5.48
163,Shelburne,9,CA,1666382021,47,44.0787,-80.2041,63.05,18.41
164,Hashtrūd,67,IR,1666382023,65,37.4779,47.0508,54.3,15.12
165,Acaraú,92,BR,1666382024,69,-2.8856,-40.12,80.58,20.33
166,Bethel,0,US,1666382026,41,41.3712,-73.414,64.54,5.99
167,Bundaberg,75,AU,1666382027,99,-24.85,152.35,68.29,12.66
168,Westport,0,US,1666381850,35,41.1415,-73.3579,65.44,4.61
169,Kamenka,70,RU,1666382030,78,51.3223,42.7678,35.4,7.9
170,Uray,7,RU,1666382031,73,60.1247,64.7758,29.55,11.23
171,Adrar,99,MR,1666382032,12,20.5022,-10.0711,87.89,11.34
172,Khatanga,91,RU,1666382034,96,71.9667,102.5,5.02,2.37
173,Arandis,0,NA,1666382036,53,-22.4167,14.9667,67.41,2.44
174,Petropavlovsk-Kamchatskiy,75,RU,1666382037,86,53.0452,158.6483,23.59,6.71
175,Geraldton,53,AU,1666382038,76,-28.7667,114.6,61.27,5.08
176,Thompson,100,CA,1666382040,60,55.7435,-97.8558,39.36,17.27
177,Cap Malheureux,86,MU,1666382041,76,-19.9842,57.6142,73.47,7.0
178,Dunedin,2,NZ,1666382043,68,-45.8742,170.5036,50.81,2.82
179,Kokstad,100,ZA,1666382044,92,-30.5472,29.4241,60.94,4.7
180,Wattegama,100,LK,1666382045,93,6.7989,81.4808,74.17,1.88
181,Vao,100,NC,1666382047,63,-22.6667,167.4833,71.65,20.4
182,Buraidah,0,SA,1666382048,13,26.326,43.975,75.65,8.39
183,Mar del Plata,100,AR,1666382050,83,-38.0023,-57.5575,59.09,20.71
184,Mossamedes,10,AO,1666382051,83,-15.1961,12.1522,67.68,1.12
185,Cockburn Town,15,TC,1666382053,74,21.4612,-71.1419,83.43,13.87
186,Kavieng,100,PG,1666382054,73,-2.5744,150.7967,81.57,6.87
187,Banjarmasin,100,ID,1666382056,96,-3.3244,114.591,73.54,2.1
188,Rantauprapat,100,ID,1666382057,99,2.1,99.8333,74.19,1.79
189,Manono,100,CD,1666382058,77,-7.3,27.4167,72.64,2.44
190,Stornoway,75,GB,1666382060,94,58.2093,-6.3865,53.56,5.75
191,Sampit,100,ID,1666382061,97,-2.5333,112.95,75.07,0.36
192,Birao,100,CF,1666382063,72,10.2849,22.7882,75.45,5.77
193,Mopti,100,ML,1666382064,14,14.6667,-4.0,90.21,8.75
194,Cherskiy,100,RU,1666382066,96,68.75,161.3,9.25,8.25
195,Mizdah,0,LY,1666382067,68,31.4451,12.9801,63.39,6.42
196,Makakilo City,75,US,1666382068,73,21.3469,-158.0858,82.0,6.91
197,Jinchang,100,CN,1666382070,38,38.4953,102.1739,46.76,3.67
198,Tabora,86,TZ,1666382071,27,-5.0167,32.8,78.3,6.11
199,Hay River,100,CA,1666382073,81,60.8156,-115.7999,37.38,5.75
200,Ust-Nera,100,RU,1666382074,96,64.5667,143.2,2.7,1.14
201,Ariquemes,95,BR,1666382076,59,-9.9133,-63.0408,86.27,3.67
202,Khani,80,GE,1666382077,91,41.9563,42.9566,36.97,2.08
203,Along,0,IN,1666382079,59,28.1667,94.7667,59.18,2.21
204,Scottsbluff,57,US,1666382080,14,41.8666,-103.6672,78.78,11.01
205,Humberto de Campos,88,BR,1666382081,65,-2.5983,-43.4611,83.34,8.66
206,Villaviciosa,29,ES,1666382083,88,43.4813,-5.4357,65.82,5.1
207,Pangai,75,TO,1666382084,88,-19.8,-174.35,73.51,2.3
208,Arman',71,RU,1666382085,66,59.7,150.1667,15.85,9.8
209,Sibanicú,100,CU,1666382087,88,21.235,-77.5264,78.01,5.1
210,Shamary,11,RU,1666382088,89,57.3434,58.2199,27.34,5.14
211,Te Anau,31,NZ,1666382090,82,-45.4167,167.7167,42.69,0.45
212,Henties Bay,22,NA,1666382091,92,-22.116,14.2845,58.08,6.67
213,Dodge City,1,US,1666382092,15,37.7528,-100.0171,87.94,1.99
214,Constitución,0,CL,1666382094,59,-35.3333,-72.4167,59.92,17.11
215,Camacha,20,PT,1666382095,88,33.0833,-16.3333,65.62,6.91
216,Chake Chake,29,TZ,1666382097,85,-5.2459,39.7666,73.87,9.28
217,Bilma,0,NE,1666382098,20,18.6853,12.9164,77.7,9.66
218,Puerto Ayacucho,85,VE,1666382099,65,5.6639,-67.6236,89.1,4.79
219,Leshukonskoye,60,RU,1666382101,82,64.8989,45.7622,31.57,10.4
220,Mount Isa,0,AU,1666382024,32,-20.7333,139.5,74.3,8.23
221,Casper,0,US,1666382103,16,42.8666,-106.3131,71.73,21.99
222,Nuuk,100,GL,1666382105,93,64.1835,-51.7216,39.74,29.95
223,Inyonga,94,TZ,1666382106,30,-6.7167,32.0667,78.98,3.96
224,Lompoc,20,US,1666382108,74,34.6391,-120.4579,85.01,3.0
225,Torbay,75,CA,1666382109,74,47.6666,-52.7314,54.57,8.05
226,Koslan,100,RU,1666382110,76,63.4564,48.8989,33.12,12.93
227,Nemuro,0,JP,1666382112,86,43.3236,145.575,58.5,16.96
228,Georgiyevka,92,KZ,1666382113,71,43.0369,74.7114,46.44,6.71
229,Faya,0,SA,1666382114,62,18.3851,42.4509,62.71,2.15
230,Indramayu,100,ID,1666382116,79,-6.3264,108.32,80.24,4.16
231,Goiás,100,BR,1666382117,50,-15.5807,-49.6362,81.95,8.97
232,Lüderitz,1,NA,1666382119,74,-26.6481,15.1594,62.28,23.0
233,Calvinia,3,ZA,1666382120,26,-31.4707,19.776,69.57,3.56
234,Ahipara,68,NZ,1666382122,83,-35.1667,173.1667,56.28,7.43
235,Eyl,63,SO,1666382123,82,7.9803,49.8164,78.33,10.18
236,Berlevåg,100,NO,1666382124,80,70.8578,29.0864,32.0,24.16
237,Maracás,33,BR,1666382126,50,-13.4411,-40.4308,76.05,10.65
238,Klaksvík,100,FO,1666382127,75,62.2266,-6.589,43.72,17.81
239,Dwārka,0,IN,1666382129,58,22.2394,68.9678,82.98,9.1
240,Carutapera,42,BR,1666382130,69,-1.195,-46.02,83.17,8.97
241,Basco,100,PH,1666382131,81,20.4487,121.9702,81.91,14.65
242,Owando,54,CG,1666382133,97,-0.4819,15.8999,70.7,2.73
243,Lorengau,100,PG,1666382134,75,-2.0226,147.2712,80.73,7.34
244,Tonantins,100,BR,1666382136,66,-2.8731,-67.8022,86.43,2.86
245,Barra do Garças,100,BR,1666382113,83,-15.89,-52.2567,77.58,6.91
246,Kruisfontein,100,ZA,1666382138,77,-34.0033,24.7314,60.89,7.72
247,Acapulco de Juárez,98,MX,1666381958,89,16.8634,-99.8901,78.03,4.54
248,Toyooka,100,JP,1666382141,83,35.5333,134.8333,61.12,5.61
249,Barcelos,15,PT,1666382142,91,41.5388,-8.6151,63.84,10.47
250,Qandala,18,SO,1666382144,71,11.472,49.8728,83.19,9.82
251,Zhezkazgan,19,KZ,1666382145,38,47.8043,67.7144,50.14,9.26
252,Bambamarca,98,PE,1666382146,72,-6.6833,-78.5333,62.4,5.48
253,Nanortalik,100,GL,1666382148,87,60.1432,-45.2371,40.73,18.9
254,San Andrés,40,CO,1666382048,66,12.5847,-81.7006,87.82,11.5
255,Port Hedland,0,AU,1666382113,78,-20.3167,118.5667,75.25,12.66
256,Maragogi,19,BR,1666381942,74,-9.0122,-35.2225,77.43,7.65
257,Port-Cartier,82,CA,1666382152,69,50.0334,-66.8654,46.74,14.16
258,Sakakah,29,SA,1666382154,29,29.9697,40.2064,81.97,12.1
259,Ambon City,42,ID,1666382155,94,-3.6954,128.1814,75.34,6.91
260,Klyuchi,100,RU,1666382157,43,52.2667,79.1667,53.1,12.35
261,Gamba,100,GA,1666382158,84,-2.65,10.0,77.4,6.26
262,Kiunga,100,PG,1666382159,100,-6.1219,141.2906,72.91,2.28
263,Ulaangom,97,MN,1666382161,75,49.9811,92.0667,32.41,0.72
264,Tuatapere,11,NZ,1666382162,70,-46.1333,167.6833,45.54,3.06
265,Macao,20,MO,1666382164,83,22.2006,113.5461,76.86,9.22
266,Pargas,100,FI,1666382165,81,60.3067,22.301,42.49,5.01
267,Wawa,64,NG,1666382167,59,9.9022,4.4192,79.3,1.43
